datetime,open,high,low,close,volume,spread,real_volume
2022-02-28 08:00:00+00:00,1911.18,1911.82,1893.55,1900.42,50471,0,0
2022-02-28 12:00:00+00:00,1900.42,1914.06,1898.48,1913.23,31273,0,0
2022-02-28 16:00:00+00:00,1913.25,1918.27,1890.98,1892.77,81850,0,0
2022-02-28 20:00:00+00:00,1892.79,1910.24,1890.82,1910.04,54869,0,0
2022-03-01 00:00:00+00:00,1910.11,1910.88,1905.07,1905.37,9492,0,0
2022-03-01 04:00:00+00:00,1905.37,1906.7,1901.37,1905.52,22942,0,0
2022-03-01 08:00:00+00:00,1905.52,1914.13,1904.55,1912.49,29675,0,0
2022-03-01 12:00:00+00:00,1912.46,1926.4,1911.22,1916.21,50979,0,0
2022-03-01 16:00:00+00:00,1916.19,1934.9,1912.3,1931.38,87176,0,0
2022-03-01 20:00:00+00:00,1931.38,1946.51,1929.61,1945.47,63533,0,0
2022-03-02 00:00:00+00:00,1945.47,1950.18,1934.72,1935.04,13645,0,0
2022-03-02 04:00:00+00:00,1935.07,1940.59,1930.96,1936.31,38512,0,0
2022-03-02 08:00:00+00:00,1936.3,1947.84,1931.8,1939.28,43670,0,0
2022-03-02 12:00:00+00:00,1939.31,1940.18,1913.78,1926.12,39309,0,0
2022-03-02 16:00:00+00:00,1926.12,1935.59,1916.32,1918.83,71879,0,0
2022-03-02 20:00:00+00:00,1918.83,1933.28,1914.89,1925.17,34932,0,0
2022-03-03 00:00:00+00:00,1925.1,1930.59,1924.66,1929.15,6835,0,0
2022-03-03 04:00:00+00:00,1929.15,1930.82,1923.9,1924.55,32444,0,0
2022-03-03 08:00:00+00:00,1924.55,1935.09,1921.97,1931.91,39854,0,0
2022-03-03 12:00:00+00:00,1931.91,1938.75,1923.6,1930.56,31300,0,0
2022-03-03 16:00:00+00:00,1930.56,1937.27,1923.54,1930.51,59253,0,0
2022-03-03 20:00:00+00:00,1930.49,1941.3,1927.56,1936.91,37763,0,0
2022-03-04 00:00:00+00:00,1936.87,1951.02,1934.77,1947.22,18392,0,0
2022-03-04 04:00:00+00:00,1947.22,1947.47,1929.72,1939.22,48312,0,0
2022-03-04 08:00:00+00:00,1939.22,1940.21,1933.95,1938.65,35573,0,0
2022-03-04 12:00:00+00:00,1938.65,1949.95,1938.22,1945.65,36191,0,0
2022-03-04 16:00:00+00:00,1945.67,1965.73,1939.93,1962.7,87665,0,0
2022-03-04 20:00:00+00:00,1962.71,1970.41,1960.17,1967.99,53692,0,0
2022-03-07 00:00:00+00:00,1981.67,1991.55,1981.67,1988.15,23574,0,0
2022-03-07 04:00:00+00:00,1988.15,2000.93,1984.95,1989.67,71653,0,0
2022-03-07 08:00:00+00:00,1989.67,1998.57,1976.1,1996.55,55319,0,0
2022-03-07 12:00:00+00:00,1996.55,2002.52,1981.83,1984.03,44810,0,0
2022-03-07 16:00:00+00:00,1984.1,1991.3,1961.07,1979.46,83965,0,0
2022-03-07 20:00:00+00:00,1979.46,1999.08,1978.47,1996.76,52753,0,0
2022-03-08 00:00:00+00:00,1996.76,2000.1,1990.72,1991.81,12118,0,0
2022-03-08 04:00:00+00:00,1991.87,1992.34,1981.03,1991.07,36080,0,0
2022-03-08 08:00:00+00:00,1991.08,2020.97,1989.12,2008.67,59693,0,0
2022-03-08 12:00:00+00:00,2008.68,2015.58,2002.77,2007.26,35493,0,0
2022-03-08 16:00:00+00:00,2007.3,2070.31,2003.58,2069.63,129630,0,0
2022-03-08 20:00:00+00:00,2069.63,2069.94,2021.18,2051.07,119907,0,0
2022-03-09 00:00:00+00:00,2051.12,2054.1,2035.02,2038.46,16856,0,0
2022-03-09 04:00:00+00:00,2038.5,2059.07,2036.22,2051.62,53508,0,0
2022-03-09 08:00:00+00:00,2051.62,2057.18,2038.33,2042.2,46564,0,0
2022-03-09 12:00:00+00:00,2042.2,2042.35,2004.18,2009.21,69391,0,0
2022-03-09 16:00:00+00:00,2009.21,2009.41,1975.96,2001.33,107600,0,0
2022-03-09 20:00:00+00:00,2001.29,2003.11,1979.61,1990.97,58566,0,0
2022-03-10 00:00:00+00:00,1990.99,1999.09,1969.02,1983.59,13061,0,0
2022-03-10 04:00:00+00:00,1983.59,1983.94,1970.71,1977.75,24859,0,0
2022-03-10 08:00:00+00:00,1977.75,1989.07,1974.22,1983.7,34007,0,0
2022-03-10 12:00:00+00:00,1983.7,2009.18,1976.72,2002.98,50668,0,0
2022-03-10 16:00:00+00:00,2002.98,2009.06,1981.64,1995.06,67721,0,0
2022-03-10 20:00:00+00:00,1995.06,2005.99,1993.3,1997.64,39711,0,0
2022-03-11 00:00:00+00:00,1997.59,1999.0,1991.22,1992.17,8892,0,0
2022-03-11 04:00:00+00:00,1992.17,1996.41,1985.9,1987.9,14945,0,0
2022-03-11 08:00:00+00:00,1987.81,1994.96,1980.94,1992.7,25265,0,0
2022-03-11 12:00:00+00:00,1992.67,1994.24,1961.87,1975.09,48362,0,0
2022-03-11 16:00:00+00:00,1975.06,1989.02,1958.54,1985.71,81127,0,0
2022-03-11 20:00:00+00:00,1985.71,1990.04,1980.3,1984.36,32997,0,0
2022-03-14 00:00:00+00:00,1978.98,1980.87,1969.87,1977.12,8588,0,0
2022-03-14 04:00:00+00:00,1977.14,1977.56,1971.44,1977.51,24560,0,0
2022-03-14 08:00:00+00:00,1977.51,1978.53,1967.05,1967.51,30139,0,0
2022-03-14 12:00:00+00:00,1967.48,1968.0,1954.71,1964.2,45941,0,0
2022-03-14 16:00:00+00:00,1964.2,1965.17,1949.73,1961.05,69703,0,0
2022-03-14 20:00:00+00:00,1961.05,1961.9,1950.61,1951.46,30530,0,0
2022-03-15 00:00:00+00:00,1949.18,1954.55,1945.71,1948.07,10141,0,0
2022-03-15 04:00:00+00:00,1948.07,1950.58,1936.11,1936.12,31876,0,0
2022-03-15 08:00:00+00:00,1936.18,1936.49,1924.85,1934.84,40804,0,0
2022-03-15 12:00:00+00:00,1934.84,1934.89,1919.34,1920.74,45782,0,0
2022-03-15 16:00:00+00:00,1920.74,1930.99,1906.94,1929.24,69571,0,0
2022-03-15 20:00:00+00:00,1929.27,1929.88,1913.76,1917.41,25432,0,0
2022-03-16 00:00:00+00:00,1918.23,1922.54,1914.98,1920.95,5789,0,0
2022-03-16 04:00:00+00:00,1920.95,1924.74,1915.08,1916.63,11661,0,0
2022-03-16 08:00:00+00:00,1916.62,1920.88,1911.49,1918.24,16535,0,0
2022-03-16 12:00:00+00:00,1918.24,1927.01,1915.42,1920.06,22242,0,0
2022-03-16 16:00:00+00:00,1920.06,1922.04,1903.92,1910.01,54054,0,0
2022-03-16 20:00:00+00:00,1910.04,1929.37,1895.0,1924.69,56286,0,0
2022-03-17 00:00:00+00:00,1925.0,1928.09,1923.09,1926.74,6679,0,0
2022-03-17 04:00:00+00:00,1926.74,1938.1,1926.17,1935.71,14636,0,0
2022-03-17 08:00:00+00:00,1935.74,1942.6,1929.98,1940.05,17687,0,0
2022-03-17 12:00:00+00:00,1940.05,1946.84,1934.65,1938.92,26425,0,0
2022-03-17 16:00:00+00:00,1938.94,1949.71,1936.7,1944.27,45323,0,0
2022-03-17 20:00:00+00:00,1944.25,1945.88,1935.34,1942.55,21277,0,0
2022-03-18 00:00:00+00:00,1942.3,1945.33,1940.05,1940.98,6691,0,0
2022-03-18 04:00:00+00:00,1940.98,1942.15,1926.56,1933.89,18081,0,0
