strategy_name,timeframe,direction,max_holding_bars,total_signals,suggested_stop_loss_atr,suggested_take_profit_atr,trend_potential_score,p75_mae_atr,p90_mfe_atr,reached_5r_rate,reached_8r_rate,average_close_pnl_at_horizon_atr,median_bars_to_mfe,notes
donchian_80,H1,short,48,1271,5.0,8.0,4.261,5.135212625126238,8.029866158743689,0.24390243902439024,0.10149488591660111,-0.10913785320965871,20.0,strong trend potential; wide stop needed
donchian_80,H1,short,72,1271,5.0,10.0,6.234,6.431067485645847,10.109744944900722,0.36034618410700237,0.17230527143981117,0.03999978823227351,32.0,strong trend potential; wide stop needed
donchian_80,H1,short,120,1271,5.0,14.5,9.243,8.319304823948592,14.25520563859539,0.46498819826907944,0.2824547600314713,-0.12383334659242373,57.0,strong trend potential; wide stop needed
donchian_80,H1,short,240,1259,5.0,18.0,5.991,13.238723992715808,17.967951034591906,0.5933280381254964,0.41223193010325654,-1.792391817176806,92.0,strong trend potential; wide stop needed
donchian_80,H1,short,480,1251,5.0,20.0,3.961,19.09444907996163,25.44110512493254,0.6610711430855316,0.5123900879296562,-4.052312853281669,129.0,strong trend potential; wide stop needed; short holding preferred
donchian_80,H4,long,12,665,2.5,5.0,3.667,2.70506165500953,4.957951111947194,0.09473684210526316,0.02556390977443609,0.4407692401188325,6.0,wide stop needed
donchian_80,H4,long,24,665,4.0,8.5,7.521,3.761752517291149,8.401159761849131,0.23909774436090225,0.10827067669172932,0.6379595878305722,13.0,strong trend potential; wide stop needed
donchian_80,H4,long,48,665,5.0,11.5,11.407,5.57855362238988,11.740812622300037,0.45112781954887216,0.21654135338345865,1.0705545535728545,26.0,strong trend potential; wide stop needed
donchian_80,H4,long,72,665,5.0,15.5,16.337,6.835619416533547,15.39596290464931,0.5293233082706766,0.33533834586466166,1.8238538491759588,36.0,strong trend potential; wide stop needed
donchian_80,H4,long,120,665,5.0,20.0,24.168,9.249734197574632,22.995751899474023,0.637593984962406,0.45864661654135336,2.5596355340219588,62.0,strong trend potential; wide stop needed
donchian_80,H4,long,240,665,5.0,20.0,39.383,11.070562138256633,33.062893053755616,0.7443609022556391,0.6015037593984962,5.40200815729257,128.0,strong trend potential; wide stop needed
donchian_80,H4,short,12,356,2.5,4.0,1.227,2.630618206112074,3.7726552306422194,0.05898876404494382,0.014044943820224719,-0.11741517152694295,5.0,wide stop needed
donchian_80,H4,short,24,356,4.0,6.0,2.905,3.7875511493605156,6.021666872717962,0.11797752808988764,0.056179775280898875,-0.06913378308000837,10.0,wide stop needed
donchian_80,H4,short,48,354,5.0,7.0,0.845,5.3950522647870995,6.98594842270161,0.17796610169491525,0.07627118644067797,-0.9576788218417703,17.0,wide stop needed
donchian_80,H4,short,72,347,5.0,8.5,-0.551,7.333435741034455,8.61054506333261,0.2737752161383285,0.11239193083573487,-1.7988428631968834,22.0,strong trend potential; wide stop needed; short holding preferred
donchian_80,H4,short,120,345,5.0,11.0,-2.795,10.20001690286691,11.075937123032887,0.34782608695652173,0.22608695652173913,-3.2094470743526275,26.0,strong trend potential; wide stop needed; short holding preferred
donchian_80,H4,short,240,341,5.0,15.5,-3.562,16.120818699703626,15.391372805058873,0.47214076246334313,0.34017595307917886,-3.3808607365930654,44.0,strong trend potential; wide stop needed; short holding preferred
ema_30_100,H1,long,24,358,3.5,6.0,3.84,3.4400862410644177,5.837426738564964,0.15083798882681565,0.03910614525139665,0.30245041981793896,12.0,wide stop needed
ema_30_100,H1,long,48,358,5.0,9.0,8.159,5.0231573895264106,9.2136480328585,0.33798882681564246,0.14804469273743018,0.8639304907017776,27.0,strong trend potential; wide stop needed
ema_30_100,H1,long,72,358,5.0,11.0,10.779,6.059383754496176,11.24643899801321,0.4581005586592179,0.2122905027932961,1.2429816152251434,42.0,strong trend potential; wide stop needed
ema_30_100,H1,long,120,357,5.0,15.0,14.63,7.8429310917129555,14.98821071040479,0.5798319327731093,0.36694677871148457,1.4818353480067525,64.0,strong trend potential; wide stop needed
ema_30_100,H1,long,240,357,5.0,20.0,21.893,11.439942469237351,22.371116206269534,0.7086834733893558,0.5518207282913166,2.4078828672299593,135.0,strong trend potential; wide stop needed
ema_30_100,H1,long,480,354,5.0,20.0,39.382,15.629748981489172,37.59675863953361,0.8135593220338984,0.6779661016949152,5.046716239098089,261.0,strong trend potential; wide stop needed
ema_30_100,H1,short,24,359,4.0,6.0,2.157,3.7837663796341525,5.859333023925877,0.15598885793871867,0.03064066852367688,-0.3633303278105569,10.0,wide stop needed
ema_30_100,H1,short,48,358,5.0,7.5,1.992,5.511324385599731,7.476652494675776,0.25139664804469275,0.07262569832402235,-0.7075522708844134,18.0,wide stop needed
ema_30_100,H1,short,72,358,5.0,9.0,1.725,7.179627635338086,8.788275843803813,0.3463687150837989,0.14804469273743018,-1.078575328644866,29.0,strong trend potential; wide stop needed
ema_30_100,H1,short,120,358,5.0,12.5,2.425,11.109240601690114,12.340778912345984,0.44692737430167595,0.276536312849162,-1.1267842395737206,49.0,strong trend potential; wide stop needed
ema_30_100,H1,short,240,358,5.0,17.5,2.698,15.013163210077606,17.56317965281773,0.5893854748603352,0.40782122905027934,-2.328256848180976,95.5,strong trend potential; wide stop needed
ema_30_100,H1,short,480,355,5.0,20.0,1.243,20.835308866428154,24.57664907685304,0.7070422535211267,0.543661971830986,-4.294480905270925,178.0,strong trend potential; wide stop needed
ema_30_100,H4,long,12,96,2.5,4.0,1.473,2.660212149907533,4.118165778350764,0.052083333333333336,0.010416666666666666,-0.1280332017435273,6.0,wide stop needed
ema_30_100,H4,long,24,96,4.0,5.5,1.915,3.8733337533544647,5.30843263993281,0.11458333333333333,0.03125,-0.08302398243610076,10.5,wide stop needed
ema_30_100,H4,long,48,96,5.0,10.0,6.496,6.187658024658409,9.783451606195083,0.3125,0.125,0.4500424197500634,28.5,strong trend potential; wide stop needed
ema_30_100,H4,long,72,96,5.0,12.5,10.066,6.7245751125114825,12.302874696204762,0.34375,0.22916666666666666,0.8690651417174834,41.0,strong trend potential; wide stop needed
ema_30_100,H4,long,120,96,5.0,18.0,17.535,8.167311309901747,17.9626719515526,0.4791666666666667,0.375,1.7865546189524801,63.0,strong trend potential; wide stop needed
ema_30_100,H4,long,240,95,5.0,20.0,38.497,11.36126949185645,32.200685237814675,0.6631578947368421,0.5684210526315789,5.797256416513853,119.0,strong trend potential; wide stop needed
ema_30_100,H4,short,12,97,2.0,4.0,3.035,2.022565569506207,4.156623109836386,0.05154639175257732,0.020618556701030927,0.28575043298403635,7.0,neutral profile
ema_30_100,H4,short,24,97,3.5,6.0,3.582,3.35606643049194,5.8935524845307565,0.13402061855670103,0.061855670103092786,0.0688585792952849,11.0,wide stop needed
ema_30_100,H4,short,48,97,4.5,8.0,4.639,4.365765037327193,8.034374673585548,0.25773195876288657,0.10309278350515463,-0.33958015999521624,19.0,strong trend potential; wide stop needed
ema_30_100,H4,short,72,97,5.0,9.5,4.047,6.491852556395733,9.66677882316733,0.36082474226804123,0.17525773195876287,-0.811369416640614,26.0,strong trend potential; wide stop needed
ema_30_100,H4,short,120,97,5.0,13.0,5.305,8.412704256424936,13.080239658715302,0.4329896907216495,0.26804123711340205,-1.3514672766255353,43.0,strong trend potential; wide stop needed
ema_30_100,H4,short,240,96,5.0,17.5,-1.866,15.840190544961969,17.487727364702334,0.53125,0.4166666666666667,-4.069377438078068,93.5,strong trend potential; wide stop needed
ema_50_100,H1,long,24,279,4.0,6.0,3.693,3.7567601343967576,6.116886175244794,0.16129032258064516,0.02867383512544803,0.25787229142136553,13.0,wide stop needed
ema_50_100,H1,long,48,279,5.0,9.0,7.412,5.004709047042149,9.036764710049349,0.3333333333333333,0.13620071684587814,0.6147296051390636,27.0,strong trend potential; wide stop needed
ema_50_100,H1,long,72,279,5.0,11.0,9.253,6.395545679517129,11.17670338475016,0.4336917562724014,0.21505376344086022,0.7232486600282999,41.0,strong trend potential; wide stop needed
ema_50_100,H1,long,120,278,5.0,13.5,11.354,8.129048747777395,13.442100646131596,0.5863309352517986,0.3669064748201439,0.7470893789277011,63.5,strong trend potential; wide stop needed
ema_50_100,H1,long,240,278,5.0,20.0,20.261,11.069276281513982,21.682827843064807,0.7158273381294964,0.5683453237410072,1.6868178729138144,120.5,strong trend potential; wide stop needed
ema_50_100,H1,long,480,275,5.0,20.0,32.269,16.584928899148537,33.42911135421347,0.8036363636363636,0.6945454545454546,4.021598417173862,256.0,strong trend potential; wide stop needed
ema_50_100,H1,short,24,280,3.5,5.5,2.016,3.654047313886441,5.546265772619373,0.12142857142857143,0.04642857142857143,-0.32024210453388774,10.0,wide stop needed
ema_50_100,H1,short,48,279,5.0,7.5,2.626,5.313360725666486,7.631134025804242,0.21863799283154123,0.0967741935483871,-0.5737330398176405,19.0,strong trend potential; wide stop needed
ema_50_100,H1,short,72,279,5.0,10.5,4.607,6.8740409255652875,10.363671901528228,0.3225806451612903,0.17921146953405018,-0.6242059324882576,32.0,strong trend potential; wide stop needed
ema_50_100,H1,short,120,279,5.0,13.5,5.827,9.986610095978776,13.372930215186537,0.44086021505376344,0.27956989247311825,-0.4998988280811466,52.0,strong trend potential; wide stop needed
ema_50_100,H1,short,240,279,5.0,18.5,5.739,13.91535772256156,18.35583501534349,0.5734767025089605,0.4229390681003584,-1.7664494878740784,92.0,strong trend potential; wide stop needed
ema_50_100,H1,short,480,276,5.0,20.0,4.86,19.09106504078062,24.616541758067044,0.6956521739130435,0.5652173913043478,-3.419544797843352,182.0,strong trend potential; wide stop needed
ema_50_100,H4,long,12,71,3.0,3.5,0.086,2.8533090180738165,3.303196290458683,0.056338028169014086,0.014084507042253521,-0.33698954762402905,6.0,wide stop needed
ema_50_100,H4,long,24,71,4.0,6.0,3.393,3.906856812096497,6.248941969632024,0.14084507042253522,0.07042253521126761,0.03227014664950358,11.0,wide stop needed
ema_50_100,H4,long,48,71,5.0,8.5,4.692,6.1427754390767095,8.72227513068804,0.30985915492957744,0.18309859154929578,-0.11256544920460788,24.0,strong trend potential; wide stop needed
ema_50_100,H4,long,72,71,5.0,15.5,12.444,7.442815529155363,15.550974263084164,0.36619718309859156,0.23943661971830985,0.7171035275429607,32.0,strong trend potential; wide stop needed
ema_50_100,H4,long,120,71,5.0,19.0,16.771,8.898666083260027,18.84748973552167,0.5070422535211268,0.352112676056338,1.3407711270263099,57.0,strong trend potential; wide stop needed
ema_50_100,H4,long,240,70,5.0,20.0,33.852,12.324986269198867,30.214872199447495,0.6285714285714286,0.5428571428571428,5.095556144911021,131.0,strong trend potential; wide stop needed
ema_50_100,H4,short,12,72,2.0,5.0,4.746,2.1420512812165384,4.857494230514836,0.09722222222222222,0.05555555555555555,0.6540110051333978,6.0,neutral profile
ema_50_100,H4,short,24,72,3.5,8.0,7.291,3.36559788624689,7.7877002487949865,0.18055555555555555,0.09722222222222222,0.7816832217802584,13.5,strong trend potential; wide stop needed
ema_50_100,H4,short,48,72,4.5,9.5,7.868,4.259872996252821,9.427225165368087,0.3472222222222222,0.125,0.2808192288618249,19.0,strong trend potential; wide stop needed
ema_50_100,H4,short,72,72,5.0,11.0,8.612,5.3731754672198235,11.208004895768553,0.4861111111111111,0.19444444444444445,-0.16716852792687675,26.5,strong trend potential; wide stop needed
ema_50_100,H4,short,120,72,5.0,15.0,9.488,7.770156465167115,14.982543204550065,0.5555555555555556,0.3194444444444444,-0.9315499154342921,36.5,strong trend potential; wide stop needed; short holding preferred
ema_50_100,H4,short,240,71,5.0,17.5,0.745,15.849626137678689,17.625443414178125,0.6197183098591549,0.4225352112676056,-3.022432922904171,88.0,strong trend potential; wide stop needed
ema_50_150,H1,long,24,231,3.5,6.0,3.694,3.4384868312566716,5.77495991809367,0.1471861471861472,0.030303030303030304,0.2932739759552202,12.0,wide stop needed
ema_50_150,H1,long,48,231,5.0,8.5,7.292,5.192088084204755,8.705453438773285,0.341991341991342,0.12987012987012986,0.8156211845576906,26.0,strong trend potential; wide stop needed
ema_50_150,H1,long,72,231,5.0,11.0,9.882,5.983009926598894,11.193974926291064,0.4458874458874459,0.20346320346320346,0.8331449751458798,41.0,strong trend potential; wide stop needed
ema_50_150,H1,long,120,230,5.0,14.0,12.846,8.031176436515109,14.048879803158012,0.5521739130434783,0.3695652173913043,1.2010718812803738,62.0,strong trend potential; wide stop needed
ema_50_150,H1,long,240,230,5.0,20.0,20.182,11.538133010145028,21.409577958458797,0.691304347826087,0.5478260869565217,2.1290677016868873,134.5,strong trend potential; wide stop needed
ema_50_150,H1,long,480,230,5.0,20.0,37.097,15.31474690319957,36.13714985999214,0.7913043478260869,0.6608695652173913,4.5718736337093775,272.0,strong trend potential; wide stop needed
ema_50_150,H1,short,24,232,4.0,6.0,2.692,3.783266994765804,5.775874811988605,0.1724137931034483,0.034482758620689655,-0.09850092865689408,10.5,wide stop needed
ema_50_150,H1,short,48,231,5.0,7.5,2.543,5.24642930485841,7.276082799643948,0.2683982683982684,0.07792207792207792,-0.5138680298267073,20.0,wide stop needed
ema_50_150,H1,short,72,231,5.0,10.0,5.048,6.919221212916895,10.198212385656642,0.37662337662337664,0.1774891774891775,-0.4009645788968243,31.0,strong trend potential; wide stop needed
